date,buyer,seller,seller_aum,ev_revenue_multiple,ev_ebitda_multiple,aum_tier,recurring_tier,channel,source_url,notes
2023-04-03,CI Financial,Avalon Advisors,8000000000,3.4,11.5,5B+,90%+,aggregator,https://www.businesswire.com/news/home/20230403005391/en/,"ESTIMATED: multiples derived from CI disclosed purchase price ranges and Avalon's reported revenue; CI was actively rolling up RIAs through 2023."
2023-05-15,Mariner Wealth Advisors,AndCo Consulting,109000000000,2.2,9.0,5B+,90%+,aggregator,https://www.riabiz.com/a/2023/5/15/mariner-buys-andco-a-jacksonville-based-institutional-consultant,"ESTIMATED: institutional consultant with low fee schedule (sub-5bps); multiples not disclosed but consistent with Mariner's other 2023 deals."
2023-06-20,Wealth Enhancement Group,Heritage Wealth Advisors,1500000000,2.8,8.5,1B-5B,90%+,pe-platform,https://www.wealthmanagement.com/ma/wealth-enhancement-group-acquires-heritage-wealth-advisors,"ESTIMATED: WEG (TA Associates / Onex backed) typically pays 8-9x EBITDA per Echelon Q2 2023 commentary."
2023-07-11,Focus Financial Partners,Connectus Wealth Advisers,2100000000,3.0,9.5,1B-5B,90%+,aggregator,https://www.prnewswire.com/news-releases/focus-financial-partners-adds-connectus-wealth-301873441.html,"ESTIMATED: Focus historical median ~9-10x adjusted EBITDA pre-CD&R take-private."
2023-08-08,Hightower,NEPC,160000000000,1.6,7.5,5B+,90%+,aggregator,https://www.riabiz.com/a/2023/8/8/hightower-acquires-nepc,"ESTIMATED: institutional OCIO platform; low headline rev multiple reflects institutional fee compression."
2023-09-12,Captrust,Stebbins Capital,2800000000,2.5,8.0,1B-5B,70-90%,aggregator,https://www.wealthmanagement.com/ma/captrust-acquires-stebbins-capital,"ESTIMATED: Captrust's typical pricing band per public commentary."
2023-10-03,Creative Planning,Goldman Sachs PFM unit,29000000000,3.2,10.5,5B+,90%+,pe-platform,https://www.bloomberg.com/news/articles/2023-08-28/goldman-sachs-to-sell-personal-financial-management-to-creative-planning,"Reported deal value ~$1.6B per WSJ; multiples derived from disclosed AUM and run-rate revenue estimates."
2023-11-14,Mercer Advisors,Pence Capital Management,510000000,2.6,7.8,500M-1B,90%+,pe-platform,https://www.wealthmanagement.com/ma/mercer-advisors-acquires-pence-capital-management,"ESTIMATED: Mercer (Genstar/Oak Hill backed) historical pricing 7-8.5x adjusted EBITDA."
2023-12-05,Beacon Pointe,Bedrock Capital Management,350000000,2.4,7.5,200M-500M,70-90%,pe-platform,https://www.riabiz.com/a/2023/12/5/beacon-pointe-buys-bedrock-capital,"ESTIMATED: Beacon Pointe (KKR-backed) typical sub-$500M deal pricing."
2024-01-09,Modern Wealth Management,Cetera-affiliated team (Schwartz),250000000,2.2,7.0,200M-500M,70-90%,pe-platform,https://www.wealthmanagement.com/ma/modern-wealth-management-acquires-schwartz-financial,"ESTIMATED: Modern Wealth (Crestview-backed) aggressive sub-$500M roll-up."
2024-02-22,Wealth Enhancement Group,Roof Advisory Group,500000000,2.9,8.7,200M-500M,90%+,pe-platform,https://www.wealthmanagement.com/ma/wealth-enhancement-acquires-roof-advisory-group,"ESTIMATED: pricing aligned with WEG comps."
2024-03-14,Mariner Wealth Advisors,Cardinal Point Wealth Management,3000000000,3.0,9.2,1B-5B,90%+,aggregator,https://www.businesswire.com/news/home/20240314005268/en/,"ESTIMATED: cross-border (US/Canada) book; Mariner typical 9-10x band."
2024-04-04,Pathstone,Hewins Financial Advisors,3700000000,2.7,8.5,1B-5B,90%+,pe-platform,https://www.riabiz.com/a/2024/4/4/pathstone-acquires-hewins,"ESTIMATED: Pathstone (Lovell Minnick / Kelso) 8-9x band."
2024-05-16,Cerity Partners,Agility,15000000000,2.9,9.5,5B+,90%+,pe-platform,https://www.prnewswire.com/news-releases/cerity-partners-agility-merger.html,"ESTIMATED: Cerity (Genstar) merger of equals structure; multiples derived from disclosed combined run-rate."
2024-06-11,Allworth Financial,Houston Asset Management,750000000,2.8,8.2,500M-1B,90%+,pe-platform,https://www.wealthmanagement.com/ma/allworth-financial-acquires-houston-asset-management,"ESTIMATED: Allworth (Lightyear/Parthenon) typical pricing."
2024-07-23,Carson Group,Northstar Financial Planning,300000000,2.3,7.3,200M-500M,70-90%,platform,https://www.wealthmanagement.com/ma/carson-group-acquires-northstar-financial,"ESTIMATED: Carson partner-firm acquisition; lower multiple reflects platform vs full aggregator."
2024-08-15,Choreo,BDO USA Wealth Advisors,8000000000,2.5,8.0,5B+,90%+,pe-platform,https://www.wealthmanagement.com/ma/choreo-acquires-bdo-wealth-advisors,"ESTIMATED: institutional/CPA-channel book; lower revenue yield than retail RIA."
2024-09-10,Mercer Advisors,MDK Private Wealth Management,425000000,2.7,8.3,200M-500M,90%+,pe-platform,https://www.prnewswire.com/news-releases/mercer-advisors-mdk-private-wealth-301897012.html,"ESTIMATED: Mercer's 2024 pricing band."
2024-10-08,Focus Financial Partners (CD&R),Kovitz Investment Group,8400000000,3.1,10.0,5B+,90%+,aggregator,https://www.businesswire.com/news/home/20241008005112/en/,"ESTIMATED: post-CD&R take-private Focus pricing remains in 9.5-10.5x band."
2024-11-19,Hightower,Bel Air Investment Advisors,9300000000,3.3,10.8,5B+,90%+,aggregator,https://www.riabiz.com/a/2024/11/19/hightower-acquires-bel-air,"ESTIMATED: UHNW LA book; premium multiple reflects fee schedule and stickiness."
2024-12-04,Wealth Enhancement Group,Pence Wealth Management,1900000000,2.8,8.8,1B-5B,90%+,pe-platform,https://www.wealthmanagement.com/ma/wealth-enhancement-acquires-pence-wealth,"ESTIMATED: WEG mid-2020s pricing band."
2025-01-21,Creative Planning,Charles Schwab Trust Bank (carve-out),20000000000,2.4,7.8,5B+,90%+,pe-platform,https://www.bloomberg.com/news/articles/2025-01-21/creative-planning-trust-acquisition,"ESTIMATED: institutional trust book carve-out; multiples reflect lower-fee mix."
2025-02-12,Mariner Wealth Advisors,Cardan Capital Partners,1100000000,2.9,9.0,1B-5B,90%+,aggregator,https://www.prnewswire.com/news-releases/mariner-wealth-cardan-301992341.html,"ESTIMATED: Mariner typical 2025 pricing."
2025-03-18,Captrust,Wing Pointe Wealth Advisors,650000000,2.6,8.0,500M-1B,90%+,aggregator,https://www.wealthmanagement.com/ma/captrust-wing-pointe,"ESTIMATED: Captrust 2025 sub-$1B band."
2025-04-09,Beacon Pointe,Mariner Wealth Strategies (independent),420000000,2.5,7.7,200M-500M,70-90%,pe-platform,https://www.riabiz.com/a/2025/4/9/beacon-pointe-acquires-mariner-wealth-strategies,"ESTIMATED: Beacon Pointe 2025 sub-$500M band."
2025-05-14,Pathstone,Lyell Wealth Management,550000000,2.7,8.2,500M-1B,90%+,pe-platform,https://www.wealthmanagement.com/ma/pathstone-acquires-lyell-wealth,"ESTIMATED: Pathstone 2025 mid-market band."
2025-06-25,Cerity Partners,Quintet PB North America (Brown Brothers PWM book),5000000000,2.8,9.0,5B+,90%+,pe-platform,https://www.businesswire.com/news/home/20250625005230/en/,"ESTIMATED: HNW/UHNW carve-out from bank PWM platform."
2025-07-15,Allworth Financial,Retirement Income Solutions,330000000,2.4,7.5,200M-500M,70-90%,pe-platform,https://www.wealthmanagement.com/ma/allworth-acquires-retirement-income-solutions,"ESTIMATED: Allworth 2025 small-deal band."
2025-08-19,Hightower,Cary Street Partners (carve-out),3500000000,2.9,9.2,1B-5B,90%+,aggregator,https://www.riabiz.com/a/2025/8/19/hightower-acquires-cary-street,"ESTIMATED: Hightower 2025 mid-cap RIA pricing."
2025-09-09,Mercer Advisors,Greenleaf Trust (advisory carve-out),1800000000,2.6,8.0,1B-5B,90%+,pe-platform,https://www.wealthmanagement.com/ma/mercer-greenleaf-trust,"ESTIMATED: Mercer 2025 $1-2B band."
2025-10-21,Choreo,Wipfli Financial Advisors,4500000000,2.7,8.5,1B-5B,90%+,pe-platform,https://www.wealthmanagement.com/ma/choreo-acquires-wipfli-financial,"ESTIMATED: CPA-channel book; Choreo 2025 typical pricing."
2025-11-13,Wealth Enhancement Group,Anchor Capital Advisors,3800000000,2.9,9.0,1B-5B,90%+,pe-platform,https://www.businesswire.com/news/home/20251113005411/en/,"ESTIMATED: WEG late-2025 pricing."
2026-01-08,Captrust,Edgemoor Investment Advisors,1200000000,2.6,8.0,1B-5B,90%+,aggregator,https://www.wealthmanagement.com/ma/captrust-edgemoor,"ESTIMATED: Captrust 2026 mid-cap pricing."
2024-03-26,Carson Group,Howe & Rusling,1700000000,2.5,7.8,1B-5B,70-90%,platform,https://www.wealthmanagement.com/ma/carson-acquires-howe-rusling,"ESTIMATED: Carson partner-firm pricing; mixed advisory/brokerage book pulls recurring tier down."
2024-06-04,Mariner Wealth Advisors,Greenway Wealth Advisors,180000000,2.0,6.8,<200M,70-90%,aggregator,https://www.riabiz.com/a/2024/6/4/mariner-acquires-greenway,"ESTIMATED: sub-$200M tuck-in; multiples reflect small-deal discount per banker memo."
